X   Y   Z   AngleHorizontal   AngleVertical    dist   reflectivity   lidarTimeNum
-4.644051e+00 -3.149711e-01 4.072352e-01 3.561200e+02 5 4.672500e+00 95 7.1037530900e+02
-6.775931e+00 -4.595604e-01 8.338910e-01 3.561200e+02 7 6.842500e+00 139 7.1037530900e+02
-4.681507e+00 -3.175114e-01 -5.761373e-01 3.561200e+02 -7 4.727500e+00 16 7.1037530900e+02
-4.818726e+00 -3.268179e-01 7.649645e-01 3.561200e+02 9 4.890000e+00 94 7.1037530900e+02
-4.468409e+00 -3.030586e-01 8.705660e-01 3.561200e+02 11 4.562500e+00 93 7.1037530900e+02
-5.043974e+00 -3.420949e-01 -2.649508e-01 3.561200e+02 -3 5.062500e+00 143 7.1037530900e+02
-4.505854e+00 -3.055982e-01 1.042648e+00 3.561200e+02 13 4.635000e+00 86 7.1037530900e+02
-4.915457e+00 -3.333785e-01 -8.599673e-02 3.561200e+02 -1 4.927500e+00 148 7.1037530900e+02
-1.067533e+00 -6.903427e-02 -2.866421e-01 3.563000e+02 -15 1.107500e+00 18 7.1037530900e+02
-5.660393e+00 -3.660412e-01 2.972682e-01 3.563000e+02 3 5.680000e+00 148 7.1037530900e+02
-4.545606e+00 -2.939511e-01 3.985196e-01 3.563000e+02 5 4.572500e+00 81 7.1037530900e+02
-6.564388e+00 -4.245000e-01 8.076891e-01 3.563000e+02 7 6.627500e+00 137 7.1037530900e+02
-4.667624e+00 -3.018417e-01 -5.743093e-01 3.563000e+02 -7 4.712500e+00 9 7.1037530900e+02
-4.795088e+00 -3.100844e-01 7.610537e-01 3.563000e+02 9 4.865000e+00 86 7.1037530900e+02
-4.635076e+00 -2.997369e-01 -4.063637e-01 3.563000e+02 -5 4.662500e+00 103 7.1037530900e+02
-4.464441e+00 -2.887024e-01 8.696120e-01 3.563000e+02 11 4.557500e+00 78 7.1037530900e+02
-5.042533e+00 -3.260860e-01 -2.648199e-01 3.563000e+02 -3 5.060000e+00 145 7.1037530900e+02
-4.497068e+00 -2.908124e-01 1.040399e+00 3.563000e+02 13 4.625000e+00 84 7.1037530900e+02
-4.911491e+00 -3.176119e-01 -8.590947e-02 3.563000e+02 -1 4.922500e+00 150 7.1037530900e+02
-1.077386e+00 -6.627323e-02 -2.892303e-01 3.564800e+02 -15 1.117500e+00 17 7.1037530900e+02
-5.676466e+00 -3.491764e-01 2.980533e-01 3.564800e+02 3 5.695000e+00 150 7.1037530900e+02
-4.909408e+00 -3.019924e-01 7.790436e-01 3.564800e+02 9 4.980000e+00 86 7.1037530900e+02
-4.631024e+00 -2.848681e-01 -4.059279e-01 3.564800e+02 -5 4.657500e+00 81 7.1037530900e+02
-5.046024e+00 -3.103961e-01 -2.649508e-01 3.564800e+02 -3 5.062500e+00 148 7.1037530900e+02
-4.485803e+00 -2.759352e-01 1.037587e+00 3.564800e+02 13 4.612500e+00 77 7.1037530900e+02
-1.067946e+00 -6.232544e-02 -2.866421e-01 3.566600e+02 -15 1.107500e+00 21 7.1037530900e+02
-6.482980e+00 -3.783475e-01 1.133534e-01 3.566600e+02 1 6.495000e+00 121 7.1037530900e+02
-5.682520e+00 -3.316325e-01 2.983150e-01 3.566600e+02 3 5.700000e+00 150 7.1037530900e+02
-4.055095e+00 -2.366558e-01 -4.987503e-01 3.566600e+02 -7 4.092500e+00 9 7.1037530900e+02
-4.616978e+00 -2.694474e-01 -4.046205e-01 3.566600e+02 -5 4.642500e+00 63 7.1037530900e+02
-5.041990e+00 -2.942511e-01 -2.646891e-01 3.566600e+02 -3 5.057500e+00 150 7.1037530900e+02
-4.498807e+00 -2.625509e-01 1.040399e+00 3.566600e+02 13 4.625000e+00 74 7.1037530900e+02
-1.065725e+00 -5.883697e-02 -2.859950e-01 3.568400e+02 -15 1.105000e+00 16 7.1037530900e+02
-6.491624e+00 -3.583921e-01 1.134843e-01 3.568400e+02 1 6.502500e+00 143 7.1037530900e+02
-5.698490e+00 -3.146045e-01 2.991000e-01 3.568400e+02 3 5.715000e+00 165 7.1037530900e+02
-4.102893e+00 -2.265141e-01 -5.045391e-01 3.568400e+02 -7 4.140000e+00 17 7.1037530900e+02
-4.489881e+00 -2.478791e-01 1.038149e+00 3.568400e+02 13 4.615000e+00 99 7.1037530900e+02
-5.091470e+00 -2.810919e-01 -8.900727e-02 3.568400e+02 -1 5.100000e+00 155 7.1037530900e+02
-1.051435e+00 -5.473537e-02 -2.821128e-01 3.570200e+02 -15 1.090000e+00 14 7.1037530900e+02
-6.500207e+00 -3.383862e-01 1.136152e-01 3.570200e+02 1 6.510000e+00 145 7.1037530900e+02
-5.694464e+00 -2.964410e-01 2.988383e-01 3.570200e+02 3 5.710000e+00 165 7.1037530900e+02
-5.379638e+00 -2.800519e-01 -4.712947e-01 3.570200e+02 -5 5.407500e+00 70 7.1037530900e+02
-4.781412e+00 -2.489096e-01 9.306709e-01 3.570200e+02 11 4.877500e+00 77 7.1037530900e+02
-5.038753e+00 -2.623062e-01 -2.644274e-01 3.570200e+02 -3 5.052500e+00 144 7.1037530900e+02
-4.488204e+00 -2.336459e-01 1.037587e+00 3.570200e+02 13 4.612500e+00 87 7.1037530900e+02
-5.092328e+00 -2.650952e-01 -8.900727e-02 3.570200e+02 -1 5.100000e+00 158 7.1037530900e+02
-5.249942e+00 -2.733002e-01 1.408623e+00 3.570200e+02 15 5.442500e+00 77 7.1037530900e+02
-1.039543e+00 -5.084211e-02 -2.788775e-01 3.572000e+02 -15 1.077500e+00 14 7.1037530900e+02
-5.695367e+00 -2.785499e-01 2.988383e-01 3.572000e+02 3 5.710000e+00 157 7.1037530900e+02
-5.882969e+00 -2.877252e-01 5.153083e-01 3.572000e+02 5 5.912500e+00 87 7.1037530900e+02
-5.318304e+00 -2.601084e-01 -4.658474e-01 3.572000e+02 -5 5.345000e+00 63 7.1037530900e+02
-4.522350e+00 -2.211798e-01 8.801065e-01 3.572000e+02 11 4.612500e+00 100 7.1037530900e+02
-5.037058e+00 -2.463533e-01 -2.642966e-01 3.572000e+02 -3 5.050000e+00 146 7.1037530900e+02
-4.471885e+00 -2.187117e-01 1.033650e+00 3.572000e+02 13 4.595000e+00 85 7.1037530900e+02
-5.250775e+00 -2.568057e-01 1.408623e+00 3.572000e+02 15 5.442500e+00 71 7.1037530900e+02
-1.025223e+00 -4.691374e-02 -2.749952e-01 3.573800e+02 -15 1.062500e+00 13 7.1037530900e+02
-5.274734e+00 -2.413693e-01 2.767264e-01 3.573800e+02 3 5.287500e+00 144 7.1037530900e+02
-5.883844e+00 -2.692419e-01 5.153083e-01 3.573800e+02 5 5.912500e+00 107 7.1037530900e+02
-4.984810e+00 -2.281025e-01 6.126981e-01 3.573800e+02 7 5.027500e+00 123 7.1037530900e+02
-5.316607e+00 -2.432854e-01 -4.656296e-01 3.573800e+02 -5 5.342500e+00 63 7.1037530900e+02
-4.513216e+00 -2.065226e-01 8.781984e-01 3.573800e+02 11 4.602500e+00 103 7.1037530900e+02
-4.457950e+00 -2.039937e-01 1.030276e+00 3.573800e+02 13 4.580000e+00 86 7.1037530900e+02
-1.018128e+00 -4.338426e-02 -2.730541e-01 3.575600e+02 -15 1.055000e+00 10 7.1037530900e+02
-6.817774e+00 -2.905176e-01 1.191127e-01 3.575600e+02 1 6.825000e+00 144 7.1037530900e+02
-5.213109e+00 -2.221399e-01 2.734554e-01 3.575600e+02 3 5.225000e+00 147 7.1037530900e+02
-5.093404e+00 -2.170391e-01 4.460195e-01 3.575600e+02 5 5.117500e+00 90 7.1037530900e+02
-5.040042e+00 -2.147653e-01 6.194009e-01 3.575600e+02 7 5.082500e+00 118 7.1037530900e+02
-5.292463e+00 -2.255213e-01 -4.634507e-01 3.575600e+02 -5 5.317500e+00 53 7.1037530900e+02
-4.499132e+00 -1.917161e-01 8.753363e-01 3.575600e+02 11 4.587500e+00 115 7.1037530900e+02
-6.472735e+00 -2.758149e-01 -3.395295e-01 3.575600e+02 -3 6.487500e+00 142 7.1037530900e+02
-4.429364e+00 -1.887432e-01 1.023527e+00 3.575600e+02 13 4.550000e+00 98 7.1037530900e+02
-8.058168e+00 -3.433730e-01 2.161139e+00 3.575600e+02 15 8.350000e+00 86 7.1037530900e+02
-1.006194e+00 -3.970937e-02 -2.698189e-01 3.577400e+02 -15 1.042500e+00 11 7.1037530900e+02
-6.828643e+00 -2.694918e-01 1.192872e-01 3.577400e+02 1 6.835000e+00 147 7.1037530900e+02
-5.094061e+00 -2.010367e-01 4.460195e-01 3.577400e+02 5 5.117500e+00 94 7.1037530900e+02
-5.120034e+00 -2.020617e-01 6.291505e-01 3.577400e+02 7 5.162500e+00 118 7.1037530900e+02
